fund,avg_return1,median_return1,avg_return2,median_return2,ExpenseRatio,Market cap,Current dividend yield,Historical average dividend yield,Leverage factor,Average volume
IQI,0.09087480260613712,0.08019107716435281,0.18462527833201592,0.18546650682246346,0.0213,499223044,5.48,6.49,1.59,98199
KTF,0.08030749721819243,0.06892502955787361,0.16110358829798516,0.16477798704420565,0.0188,338523030,4.5,6.5,1.5,63502
LEO,0.08959459498846703,0.05077383825553339,0.17803846512461868,0.19565366884931867,0.0137,380101646,4.94,6.27,1.32,131801
MHD,0.06201102677661739,0.05962589826804954,0.11716829489579168,0.11218751645793024,0.0187,166111650,5.26,6.42,1.55,104567
MMD,0.09054028811079538,0.07404102955634628,0.18572081126131423,0.19187230648747677,0.0183,487002501,5.75,5.81,1.59,72651
MMU,0.03592701165350563,0.03467599017129208,0.06095602016635874,0.0636869389832102,0.0148,434112189,5.3,6.37,1.42,59598
MNP,0.07464056440790617,0.07697166877968753,0.14726448541529816,0.15154898653023996,0.0187,113907418,5.39,5.82,1.53,19931
MQT,0.12070601950933349,0.11334719974055973,0.25130675225292143,0.25148918386704255,0.0179,227610311,5.54,6.32,1.66,32992
MQY,0.11660459244171863,0.12601840927608543,0.24383524110921928,0.23747515480949422,0.0174,350769525,5.51,6.02,1.66,139970
MUE,0.10568654553895289,0.10039477968541721,0.21807561174293888,0.2187205323407957,0.0192,220478231,5.39,5.84,1.62,50094
MUI,0.0963625249738907,0.082294063769208,0.19659561294920205,0.19459232683709593,0.0189,436194470,4.8,5.56,1.63,145472
MVF,0.07473222268872619,0.07275329061731406,0.14544064462505552,0.1434762251087207,0.0192,440238959,4.98,6.81,1.55,144409
MVT,0.08056682185425489,0.06299230946083845,0.1561100037061904,0.15544252388579527,0.0187,222854306,5.11,6.39,1.58,46117
MYD,0.07051106922867614,0.05364936370342521,0.1350855904551486,0.1332124248101576,0.0175,489071576,5.28,6.66,1.56,79909
MYI,0.10291522761074912,0.09397158422997998,0.21116603865745895,0.207329020455026,0.0184,735345848,5.12,6.19,1.61,131597
NAD,0.11166048864289063,0.09195767074750272,0.23179778303150103,0.23192928103988786,0.0195,2381051734,5.32,5.99,1.59,592982
NBH,0.09759406564191311,0.07307981938084396,0.19678896121011835,0.20814696474019456,0.0229,195780474,6.16,5.4,1.62,81499
NBO,0.06896224126015424,0.05789540857048969,0.13473153160910792,0.13583306040764875,0.0269,48437543,5.08,4.95,1.67,16914
NBW,0.0675515936174152,0.049755390878144956,0.13220366463466343,0.14029399685800215,0.027,61783120,4.89,4.96,1.65,40595
NEA,0.1077842638912611,0.0924820006349345,0.2239382487860173,0.22511655133503017,0.0194,3244555703,5.1,5.49,1.59,728024
NEV,0.07253980184394526,0.06083392640521312,0.14261230680263923,0.15003401622645263,0.0114,312125351,0.0,0.0,1.33,104516
NIM,0.05828854631060216,0.05105150743766451,0.11773905381011386,0.1161684516917314,0.0058,113388499,2.98,4.42,1.01,22617
NMI,0.0637969755803862,0.05354679054474176,0.12865480312767488,0.12475064792574053,0.0079,92625420,3.69,5.43,1.0,22710
NUV,0.09294600688632997,0.07951672628310757,0.19122210173461418,0.21121663632216947,0.0052,1803536461,3.87,5.91,1.02,344828
NUW,0.04204894898168138,0.047186279042019885,0.08021933405648225,0.08169674015074846,0.0081,245753790,3.42,4.65,1.07,25235
NVG,0.11140663365327552,0.11003414470207296,0.22460624654744069,0.22858378961419934,0.0204,2423478809,5.95,5.78,1.59,614570
NXP,0.10164705360074748,0.07994977314146623,0.211324761161992,0.22883115651993635,0.0027,232917893,3.95,5.09,1.0,103267
NZF,0.09883214569619111,0.10077402062849128,0.19217737795492368,0.18784832970792098,0.0277,1905297420,5.11,5.95,1.59,529168
PMF,0.06406030559489571,0.08921003658862858,0.11539821296180812,0.11947697924304235,0.0137,245050971,6.63,6.27,1.85,74753
PML,0.05186035065465636,0.05179960620973567,0.08903036209230997,0.0798203495502059,0.013,576829537,7.45,6.23,1.87,173619
PMO,0.10994827558769678,0.09357703303736864,0.22793254383677658,0.2290259282105278,0.0112,383244464,4.68,6.24,1.48,63005
PMX,0.06050843240588946,0.05814546608536131,0.11156127737565344,0.11164168657578077,0.0139,265534289,6.61,6.36,1.85,113005
SBI,0.07033885744170285,0.05963683184026536,0.1404074492780844,0.13993450510976202,0.0156,109842057,3.31,5.45,1.33,28643
VFL,0.08274809469599395,0.07646255317503159,0.16156910974353142,0.1606636223943465,0.0197,215225258,4.81,5.48,1.45,44116
VGM,0.10124129805000169,0.08547051859338262,0.20565733220419471,0.20205895031252563,0.022,527134729,5.49,6.61,1.68,92950
VKI,0.10834128643596556,0.10489387159126773,0.21886396368632496,0.21730507868688353,0.0225,371678387,5.76,6.33,1.68,120324
VKQ,0.10283011717420716,0.09427412373578825,0.20879354171494513,0.21122188290971677,0.0224,520707187,5.56,6.48,1.66,91843
VMO,0.1069916109031355,0.10272248430937947,0.21833509147942787,0.21849676300552745,0.0221,629895989,5.6,6.56,1.68,142986
